_id,name,bic,isin,kurz,min,max,Negativní scénář (růstová míra %),Neutrální scénář (růstová míra %),Pozitivní scénář (růstová míra %)
65d74ebd108ec9dc4eb3d5c8,ATOMTRACE,BAAATOMT,CZ0009004792,42,15,220,-80.12,-7.95,64.88
65d74ebd108ec9dc4eb3d5c9,PILULKA LÉKÁRNY,BAAPILLE,CZ0009009874,228,197,685,-67.78,-25.64,14.5
65d74ebd108ec9dc4eb3d5ca,PRIMOCO UAV SE,BAAPRIUA,CZ0005135970,1070,382,1250,-12.53,24.56,63.1
65d74ebd108ec9dc4eb3d5cb,UNILEVER PLC,BAAULVR,GB00B10RZP78,1100,500,1300,-14.63,19.67,53.29
65d74ebd108ec9dc4eb3d5cc,PKO BANK POLSKI S.A.,BAAPKO,PLPKO0000016,290.6,129.75,290.6,1.51,29.47,54.99
65d74ebd108ec9dc4eb3d5cd,IMMOFINANZ AG,BAAIMO,AT0000A21KS2,545.5,249.6,545.5,-0.58,25.53,51.8
65d74ebd108ec9dc4eb3d5ce,BORUSSIA DORTMUND,BAABVB,DE0005493092,122,80,168,-29.11,1.61,35.31
65d74ebd108ec9dc4eb3d5cf,FILLAMENTUM,BAAFILLA,CZ0009007027,150,100,200,-25.48,5.45,33.59
65d74ebd108ec9dc4eb3d5d0,COLOSEUM HOLDING,BAACOLHO,CZ0009010823,169,130,260,-33.07,-6.52,22.51
65d74ebd108ec9dc4eb3d5d1,RMS MEZZANINE,BAAPVT,CS0008416251,1.74,1.08,1.9,-7.58,14.31,38.43
65d74ebd108ec9dc4eb3d5d2,OTP BANK PLC,BAAOTP,HU0000061726,1000,595,1019,-4.3,16,39.15
65d74ebd108ec9dc4eb3d5d3,RAIFFEISEN BANK,BAARBI,AT0000606306,500,306.8,504.4,-3.25,19.67,39.85
65d74ebd108ec9dc4eb3d5d4,GEN DIGITAL,BAANLOK,US6687711084,496.5,346,554,-10.63,9.71,32.5
65d74ebd108ec9dc4eb3d5d5,DEUTSCHE BANK AG,BAADBK,DE0005140008,307.2,200.6,320,-2.35,16.92,34.26
65d74ebd108ec9dc4eb3d5d6,PHOTON ENERGY N.V.,BAAPEN,NL0010391108,50.3,45.55,71.5,-28.96,-11.07,9.78
65d74ebd108ec9dc4eb3d5d7,PRABOS PLUS,BAAPRAPM,CZ0005131318,230,162,256,-9.22,10.1,31.66
65d74ebd108ec9dc4eb3d5d8,HARDWARIO,BAAHARDW,CZ0005138529,11.1,10.9,17,-36.73,-18.83,-0.16
65d74ebd108ec9dc4eb3d5d9,BEZVAVLASY,BAABEZVA,CZ0009011920,750,484,750,1.48,18.56,36.71
65d74ebd108ec9dc4eb3d5da,E4U,BAAEFORU,CZ0005123620,181,128,198,-10,9.93,28.54
65d74ebd108ec9dc4eb3d5db,AT & S AG,BAAATS,AT0000969985,530,530,815,-33.27,-18.28,-2.44
